event_id,run_id,session_id,player_id,chord_name,onset_s,video_path,finger,true_string,true_fret,mp_string_est,mp_fret_est,bx,by,z,tip_px_x,tip_px_y,curl,mcp_px_x,mcp_px_y,pip_px_x,pip_px_y,index_bx,middle_bx,ring_bx,pinky_bx,index_by,middle_by,ring_by,pinky_by,index_z,middle_z,ring_z,pinky_z,index_curl,middle_curl,ring_curl,pinky_curl,wrist_px_x,wrist_px_y,index_mcp_px_x,index_mcp_px_y,wrist_angle,neck_angle,hand_conf,reproj_px,n_frames_used,occluded,occ_reason
chordstream_aditya_001#1,chordstream_aditya_001,2026-06-21-0145,aditya,D,3.6373333333333338,/Users/aritro/Downloads/tactus/.claude/worktrees/analysis-pipeline/data/raw/2026-06-21-0145/aditya/video/chordstream_aditya_001.webm,index,3,2,6,0,-0.15865828096866608,-0.992752194404602,-0.06503419205546379,353.801908493042,781.7920017242432,175.6922225097119,236.7134141921997,754.8381185531616,282.8354072570801,767.6777350902557,-0.15865828096866608,-0.20624031126499176,-0.261106938123703,-0.3035338222980499,-0.992752194404602,-0.6775245666503906,-0.084213025867939,0.3287447690963745,-0.06503419205546379,-0.04924430511891842,-0.04232252761721611,-0.03296539280563593,175.6922225097119,173.78189889362204,174.42845054251617,171.06946717740112,141.31643772125244,778.4303784370422,236.7134141921997,754.8381185531616,-13.890885114721156,0.46980561526774095,0.9386471509933472,0.0,2,1,offboard|deepz
chordstream_aditya_001#1,chordstream_aditya_001,2026-06-21-0145,aditya,D,3.6373333333333338,/Users/aritro/Downloads/tactus/.claude/worktrees/analysis-pipeline/data/raw/2026-06-21-0145/aditya/video/chordstream_aditya_001.webm,ring,2,3,6,0,-0.261106938123703,-0.084213025867939,-0.04232252761721611,255.74236392974854,841.144083738327,174.42845054251617,188.58519315719604,800.7446730136871,231.81638717651367,824.6761465072632,-0.15865828096866608,-0.20624031126499176,-0.261106938123703,-0.3035338222980499,-0.992752194404602,-0.6775245666503906,-0.084213025867939,0.3287447690963745,-0.06503419205546379,-0.04924430511891842,-0.04232252761721611,-0.03296539280563593,175.6922225097119,173.78189889362204,174.42845054251617,171.06946717740112,141.31643772125244,778.4303784370422,236.7134141921997,754.8381185531616,-13.890885114721156,0.46980561526774095,0.9386471509933472,0.0,2,1,offboard
chordstream_aditya_001#1,chordstream_aditya_001,2026-06-21-0145,aditya,D,3.6373333333333338,/Users/aritro/Downloads/tactus/.claude/worktrees/analysis-pipeline/data/raw/2026-06-21-0145/aditya/video/chordstream_aditya_001.webm,middle,1,2,6,0,-0.20624031126499176,-0.6775245666503906,-0.04924430511891842,307.9131603240967,803.0700838565826,173.78189889362204,214.23743963241577,774.7568035125732,263.2836055755615,792.3462152481079,-0.15865828096866608,-0.20624031126499176,-0.261106938123703,-0.3035338222980499,-0.992752194404602,-0.6775245666503906,-0.084213025867939,0.3287447690963745,-0.06503419205546379,-0.04924430511891842,-0.04232252761721611,-0.03296539280563593,175.6922225097119,173.78189889362204,174.42845054251617,171.06946717740112,141.31643772125244,778.4303784370422,236.7134141921997,754.8381185531616,-13.890885114721156,0.46980561526774095,0.9386471509933472,0.0,2,1,offboard
chordstream_aditya_001#2,chordstream_aditya_001,2026-06-21-0145,aditya,Am,6.1022,/Users/aritro/Downloads/tactus/.claude/worktrees/analysis-pipeline/data/raw/2026-06-21-0145/aditya/video/chordstream_aditya_001.webm,middle,4,2,6,7,0.5478630065917969,-0.1585647463798523,-0.06700931489467621,1252.7116012573242,828.5002255439758,176.35425658614687,1334.8658752441406,940.611047744751,1309.442253112793,909.0088534355164,0.5694044232368469,0.5478630065917969,0.5299941897392273,0.5160523653030396,-0.2159053236246109,-0.1585647463798523,-0.1376451998949051,0.06051285192370415,-0.07742209732532501,-0.06700931489467621,-0.057849179953336716,-0.05405949428677559,145.31185892799678,176.35425658614687,165.95859527467147,157.19834549790707,1249.9116897583008,867.7796101570129,1360.9003829956055,901.5957856178284,16.94499648666268,0.46980561526774095,0.9997252225875854,0.0,3,1,offboard
chordstream_aditya_001#2,chordstream_aditya_001,2026-06-21-0145,aditya,Am,6.1022,/Users/aritro/Downloads/tactus/.claude/worktrees/analysis-pipeline/data/raw/2026-06-21-0145/aditya/video/chordstream_aditya_001.webm,ring,3,2,6,7,0.5299941897392273,-0.1376451998949051,-0.057849179953336716,1222.2859954833984,830.5479955673218,165.95859527467147,1295.9906387329102,958.702826499939,1264.5197296142578,920.2045440673828,0.5694044232368469,0.5478630065917969,0.5299941897392273,0.5160523653030396,-0.2159053236246109,-0.1585647463798523,-0.1376451998949051,0.06051285192370415,-0.07742209732532501,-0.06700931489467621,-0.057849179953336716,-0.05405949428677559,145.31185892799678,176.35425658614687,165.95859527467147,157.19834549790707,1249.9116897583008,867.7796101570129,1360.9003829956055,901.5957856178284,16.94499648666268,0.46980561526774095,0.9997252225875854,0.0,3,1,offboard
chordstream_aditya_001#2,chordstream_aditya_001,2026-06-21-0145,aditya,Am,6.1022,/Users/aritro/Downloads/tactus/.claude/worktrees/analysis-pipeline/data/raw/2026-06-21-0145/aditya/video/chordstream_aditya_001.webm,index,2,1,6,7,0.5694044232368469,-0.2159053236246109,-0.07742209732532501,1290.1638793945312,823.162157535553,145.31185892799678,1360.9003829956055,901.5957856178284,1352.757911682129,873.8108468055725,0.5694044232368469,0.5478630065917969,0.5299941897392273,0.5160523653030396,-0.2159053236246109,-0.1585647463798523,-0.1376451998949051,0.06051285192370415,-0.07742209732532501,-0.06700931489467621,-0.057849179953336716,-0.05405949428677559,145.31185892799678,176.35425658614687,165.95859527467147,157.19834549790707,1249.9116897583008,867.7796101570129,1360.9003829956055,901.5957856178284,16.94499648666268,0.46980561526774095,0.9997252225875854,0.0,3,1,offboard|deepz
chordstream_aditya_001#3,chordstream_aditya_001,2026-06-21-0145,aditya,Dm,8.5021,/Users/aritro/Downloads/tactus/.claude/worktrees/analysis-pipeline/data/raw/2026-06-21-0145/aditya/video/chordstream_aditya_001.webm,middle,3,2,6,7,0.5714740753173828,-0.5426578521728516,-0.06446951627731323,1294.5251083374023,794.4299054145813,145.19926808835234,1332.6476669311523,908.5860514640808,1331.6582107543945,846.0912466049194,0.6191859245300293,0.5714740753173828,0.5510631203651428,0.5395357608795166,0.21745187044143677,-0.5426578521728516,-0.5279679894447327,-0.5228986740112305,-0.08206313848495483,-0.06446951627731323,-0.05208639055490494,-0.05910636857151985,34.12441473231009,145.19926808835234,160.55650733950094,173.7480282717797,1222.1805953979492,838.4886002540588,1357.8266143798828,875.4740524291992,15.251613073795488,0.46980561526774095,0.9996813535690308,0.0,3,1,offboard
chordstream_aditya_001#3,chordstream_aditya_001,2026-06-21-0145,aditya,Dm,8.5021,/Users/aritro/Downloads/tactus/.claude/worktrees/analysis-pipeline/data/raw/2026-06-21-0145/aditya/video/chordstream_aditya_001.webm,ring,2,3,6,7,0.5510631203651428,-0.5279679894447327,-0.05208639055490494,1259.080924987793,796.3232445716858,160.55650733950094,1290.8555603027344,918.7007904052734,1283.2293319702148,846.9310569763184,0.6191859245300293,0.5714740753173828,0.5510631203651428,0.5395357608795166,0.21745187044143677,-0.5426578521728516,-0.5279679894447327,-0.5228986740112305,-0.08206313848495483,-0.06446951627731323,-0.05208639055490494,-0.05910636857151985,34.12441473231009,145.19926808835234,160.55650733950094,173.7480282717797,1222.1805953979492,838.4886002540588,1357.8266143798828,875.4740524291992,15.251613073795488,0.46980561526774095,0.9996813535690308,0.0,3,1,offboard
chordstream_aditya_001#3,chordstream_aditya_001,2026-06-21-0145,aditya,Dm,8.5021,/Users/aritro/Downloads/tactus/.claude/worktrees/analysis-pipeline/data/raw/2026-06-21-0145/aditya/video/chordstream_aditya_001.webm,index,1,1,5,7,0.6191859245300293,0.21745187044143677,-0.08206313848495483,1378.6323165893555,861.4094495773315,34.12441473231009,1357.8266143798828,875.4740524291992,1383.9018630981445,862.0448112487793,0.6191859245300293,0.5714740753173828,0.5510631203651428,0.5395357608795166,0.21745187044143677,-0.5426578521728516,-0.5279679894447327,-0.5228986740112305,-0.08206313848495483,-0.06446951627731323,-0.05208639055490494,-0.05910636857151985,34.12441473231009,145.19926808835234,160.55650733950094,173.7480282717797,1222.1805953979492,838.4886002540588,1357.8266143798828,875.4740524291992,15.251613073795488,0.46980561526774095,0.9996813535690308,0.0,3,1,offboard|deepz
chordstream_aditya_001#4,chordstream_aditya_001,2026-06-21-0145,aditya,A,10.9019,/Users/aritro/Downloads/tactus/.claude/worktrees/analysis-pipeline/data/raw/2026-06-21-0145/aditya/video/chordstream_aditya_001.webm,index,4,2,5,7,0.5995784997940063,0.13292793929576874,-0.07350398600101471,1343.0479431152344,853.8049364089966,30.179411243762097,1328.9749145507812,867.698757648468,1363.54248046875,884.8512053489685,0.5995784997940063,0.5497622489929199,0.5281908512115479,0.5211499929428101,0.13292793929576874,-0.23456567525863647,-0.16364330053329468,0.2170395851135254,-0.07350398600101471,-0.06013766676187515,-0.04546868056058884,-0.04361855611205101,30.179411243762097,107.45815093462357,158.71824719637573,160.07947267189056,1219.606819152832,853.481011390686,1328.9749145507812,867.698757648468,7.406857445909701,0.46980561526774095,0.9991796016693115,0.0,3,1,offboard|deepz
