subset,model,n,mp_fret_mae,our_fret_mae,mp_str_acc,our_str_acc,maj_fret_mae,maj_str_acc
all fingers,RandomForest,1661,3.8091511137868754,0.45273931366646597,0.07525586995785671,0.24382901866345574,0.428055388320289,0.16977724262492475
all fingers,MLP,1661,3.8091511137868754,0.5520770620108368,0.07525586995785671,0.22937989163154726,0.428055388320289,0.16977724262492475
VISIBLE fingers,RandomForest,186,2.0376344086021505,0.8225806451612904,0.10215053763440861,0.07526881720430108,0.3010752688172043,0.07526881720430108
VISIBLE fingers,MLP,186,2.0376344086021505,0.8172043010752689,0.10215053763440861,0.0967741935483871,0.3010752688172043,0.07526881720430108
OCCLUDED fingers,RandomForest,1475,4.032542372881356,0.4061016949152542,0.07186440677966102,0.26508474576271185,0.4440677966101695,0.18169491525423728
OCCLUDED fingers,MLP,1475,4.032542372881356,0.5186440677966102,0.07186440677966102,0.24610169491525424,0.4440677966101695,0.18169491525423728
